Year,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
1950,593287027,253,2345008.0118577075,39,91823940,105697978053522.56,10280952.19585825,253,40.54796770352436,312967972,253,1237027.557312253,6,48486892,30025963951060.812,5479595.236060855,No Mode,40.56696029927966
1951,598864613,253,2367053.806324111,40,92507130,107727004078176.1,10379162.012329131,1680,40.460348617200545,310734760,253,1228200.6324110671,5,48176160,29491669815935.938,5430623.335855281,118,40.54428380632761
1952,629899217,253,2489720.225296443,41,97371464,121140353437819.38,11006377.852764249,256,40.32039837607498,305876001,253,1208996.0513833992,5,47383364,28698517303763.363,5357099.710082253,120,40.370343247235006
1953,631187118,253,2494810.743083004,41,97291460,121043161423412.25,11001961.707959734,No Mode,40.29395313010123,305093368,253,1205902.6403162056,4,47239576,28533818838077.2,5341705.611326517,133,40.33646945493491
1954,650295050,253,2570336.1660079053,43,100187850,129201002275104.16,11366661.879158022,No Mode,40.2327752573681,301690789,253,1192453.7114624507,4,46662428,27936302936598.86,5285480.388441419,419,40.28287432169599
1955,661084321,253,2612981.5059288535,45,101747970,133688885128029.28,11562390.977995394,259,40.20437094168624,301665003,253,1192351.790513834,4,46635656,27928806373094.605,5284771.175093072,14,40.279858264789276
1956,662734606,253,2619504.371541502,46,101759016,133579099667018.34,11557642.47876782,No Mode,40.20392879102499,300884072,253,1189265.1067193677,4,46479064,27721409040117.848,5265112.443254925,3044,40.305213569305934
1957,689935472,253,2727017.675889328,47,106017736,146278162965060.44,12094550.96169595,No Mode,40.145769714876224,303548266,253,1199795.5177865613,4,46880772,28133291646553.816,5304082.545224369,No Mode,40.34777737819466
1958,683063165,253,2699854.4071146245,48,104644170,141774801266293.44,11906922.409518482,253,40.179218150267396,301799461,253,1192883.2450592886,4,46518260,27865415453037.746,5278770.259543196,62,40.27596401103444
1959,668573467,253,2642582.8735177866,50,101999840,133853338227655.36,11569500.34477096,50,40.210149716364704,326901215,253,1292099.6640316206,4,50724510,33926110252262.285,5824612.455113412,1160,40.06677559890226
1960,672501073,253,2658107.007905138,51,102378090,135145744743677.03,11625220.201943576,235,40.177457480387964,350385949,253,1384924.6996047432,4,54612440,40122324994002.6,6334218.578009651,17,39.91537198611182
1961,665385689,253,2629982.960474308,51,100950940,131395768835163.73,11462799.345498627,307,40.16622476906365,322465319,253,1274566.4782608696,4,49918924,32630775246386.242,5712335.358361433,128,40.110735045245825
1962,733934950,253,2900928.6561264824,50,112038710,166002453887116.3,12884193.955661966,1078,39.98092394117938,299288233,253,1182957.442687747,4,46061444,26968295580615.03,5193100.767423547,No Mode,40.35949585795576
1963,782034249,253,3091044.462450593,49,119802890,193081170229324.84,13895365.062830297,4589,39.8614429978459,304652053,253,1204158.3122529644,4,46913210,28026116328078.496,5293969.808005945,41,40.35158682245116
1964,768390008,253,3037114.6561264824,49,117292200,184485025890287.56,13582526.491425944,No Mode,39.873759840413484,304417219,253,1203230.1146245059,4,46822884,28042881001350.57,5295552.9457602985,66,40.28368034296732
1965,772997622,253,3055326.5691699605,49,117837010,187414473329134.03,13689940.588955602,170,39.82884294001009,313838155,253,1240467.0158102766,3,48213550,29880020702340.535,5466262.041133826,16,40.140365861487346
1966,770944537,253,3047211.6086956523,48,117232950,186549863654150.53,13658325.799824461,198,39.77748885431198,311355683,253,1230654.8735177866,3,47841524,29243784671869.324,5407752.275379238,43,40.22233325820767
1967,769682732,253,3042224.2371541504,48,116920264,184652341258736.2,13588684.309333857,No Mode,39.82271906036172,309560029,253,1223557.4268774705,2,47568790,28790292204273.61,5365658.599302942,129,40.23771732082647
1968,800516373,253,3164096.3359683794,49,121825890,202640775310239.8,14235194.951606382,172,39.72506006662706,309393836,253,1222900.5375494072,2,47629250,28483680080429.508,5337010.406625559,No Mode,40.48427742069676
1969,804262170,253,3178901.85770751,49,122227970,203885385778475.47,14278843.993071549,175,39.72712245681266,310466277,253,1227139.4347826086,2,47815950,28555438810270.09,5343728.9237263985,40,40.54620966508544
1970,817138193,253,3229795.2292490117,49,124135900,210605112488106.1,14512240.092008749,49,39.70973996002936,313175520,253,1237847.9051383398,2,48163464,29001960064054.91,5385346.791438311,37,40.5094496107197
1971,816038099,253,3225447.031620553,47,123739680,209082502458449.28,14459685.420452593,No Mode,39.70064493135902,321924237,253,1272427.814229249,1,49384108,30626709398655.496,5534140.348658995,30,40.37327827563009
1972,816377425,253,3226788.2411067192,45,123554020,209310329733221.44,14467561.291842569,168,39.648222934593306,310828704,253,1228571.95256917,1,47770224,28398956974419.16,5329067.1767598465,No Mode,40.575582089159184
1973,817940433,253,3232966.138339921,44,123563930,210066921043814.16,14493685.557642478,No Mode,39.59606497332279,309537918,253,1223470.0316205535,1,47573276,28057015407006.414,5296887.331915454,44,40.60461997389073
1974,813971553,253,3217278.8656126484,42,122709410,206759128611008.3,14379121.27395163,150,39.605118656739364,309125170,253,1221838.6166007905,1,47478096,27905860128328.664,5282599.75091135,31,40.63765581396927
1975,805409053,253,3183434.992094862,39,121030100,201435324996138.06,14192791.30390277,No Mode,39.600794005566016,310140316,253,1225851.0513833992,1,47622990,27961346276649.793,5287848.927177269,29,40.68481027298224
1976,808896712,253,3197220.2055335967,37,121322350,202932879241407.12,14245451.177179582,142,39.576261526866816,310629515,253,1227784.6442687747,1,47707252,28011377457250.645,5292577.581599598,30,40.70200717742235
1977,807136798,253,3190264.023715415,37,120786520,201159683482371.25,14183077.362912862,No Mode,39.59743166460538,307374237,253,1214917.9328063242,1,47166790,27349402580045.09,5229665.6279388545,113,40.71139683537294
1978,816946632,253,3229038.071146245,36,122140650,206260909157380.6,14361786.419431971,No Mode,39.58304712482028,308084576,253,1217725.5968379446,1,47293144,27372958345846.81,5231917.272458234,148,40.79199648989678
1979,836109118,253,3304779.122529644,34,125000296,216473586392397.88,14713041.371259645,No Mode,39.57603643284817,305714396,253,1208357.2964426877,1,46963884,26895816428890.08,5186117.664389238,123,40.856681199241464
1980,852782443,253,3370681.5928853755,32,127446984,225650047353075.1,15021652.61724139,249,39.54623269735243,308075777,253,1217690.8181818181,1,47349924,27222045084274.777,5217474.972079385,43,40.93337762272207
1981,868267376,253,3431886.861660079,30,129715830,234782906878518.03,15322627.283808675,265,39.50691980928273,308890960,253,1220912.8853754941,1,47470790,27361077749385.508,5230781.753178535,43,40.94146477406936
1982,890839766,253,3521105.7944664033,28,133206500,248149191354307.3,15752751.866080647,No Mode,39.475446174615776,310268759,253,1226358.7312252964,1,47659344,27614378528096.027,5254938.489468362,48,40.948974271788764
1983,884868614,253,3497504.403162055,27,131967704,243811005724370.1,15614448.62056839,No Mode,39.46890222425027,313723066,253,1240012.1185770752,1,48206576,28027621857964.83,5294111.999000855,160,41.14572494895146
1984,900716357,253,3560143.703557312,27,134365260,253538467908417.78,15922891.317484327,276,39.43007455194976,315230564,253,1245970.608695652,1,48430624,28256128941972.57,5315649.437460354,49,41.18590897176543
1985,913860820,253,3612098.1027667983,27,136373950,261553372963790.84,16172611.816394743,No Mode,39.42321318657092,317308967,253,1254185.6403162056,1,48772812,28559742327333.594,5344131.578407627,741,41.2561488010195
1986,932401808,253,3685382.6403162056,28,139301150,273259551444356.16,16530564.15989352,No Mode,39.39526731450337,316613344,253,1251436.1422924902,1,48643610,28517164549490.273,5340146.491388628,47,41.195603503334645
1987,945292304,253,3736333.217391304,29,141346560,281434974550184.8,16776023.8003582,No Mode,39.40741959734198,316690235,253,1251740.0592885376,1,48657012,28574112937742.18,5345475.931827041,56,41.15681905905077
1988,944112001,253,3731667.9881422925,29,140985950,280110169889668.66,16736492.162029313,No Mode,39.43290966160718,320053459,253,1265033.4347826086,1,49183184,29084702811008.195,5393023.531471766,74,41.260919679347275
1989,952850057,253,3766205.7588932808,29,142249020,285877842506898.7,16907922.47755172,No Mode,39.424557658498316,319846947,253,1264217.1818181819,1,49178260,29070835209493.777,5391737.679959382,No Mode,41.242133329819225
1990,960887091,253,3797972.691699605,30,143461420,291033215626067.1,17059695.648693945,No Mode,39.44077383681942,323665752,253,1279311.2727272727,1,49794344,29726882685966.965,5452236.484780073,26429,41.30759047561946
1991,931066282,253,3680103.881422925,31,138306860,271358114031219.3,16472950.981266815,No Mode,39.46422439630676,325829937,253,1287865.3636363635,1,50108430,30003580821967.164,5477552.448125637,104,41.39052414996442
1992,921465527,253,3642156.233201581,32,136591250,265584778835123.4,16296772.037281599,No Mode,39.47163098471958,326720510,253,1291385.415019763,1,50281876,30052280294517.17,5481996.013726859,301,41.49095353700018
1993,916649464,253,3623120.411067194,33,135632140,262953071812489.6,16215827.817675224,55,39.471279928492365,329569535,253,1302646.3833992095,1,50831804,30399291390848.617,5513555.240572875,200,41.6164794037591
1994,914276219,253,3613739.9960474307,34,135142910,261517035276946.1,16171488.344519997,No Mode,39.46757877636372,337029423,253,1332132.1067193677,1,51930610,31613119883279.17,5622554.569168642,No Mode,41.825366611351825
1995,913286524,253,3609828.1581027666,35,134850050,260939581075977.5,16153624.394419275,No Mode,39.47573048070642,333210572,253,1317037.833992095,1,51406892,31021644952241.223,5569707.797743184,92,41.67541046662187
1996,910413521,253,3598472.4150197627,37,134321010,258972331026810.62,16092617.28330139,No Mode,39.49618435825547,333647066,253,1318763.1067193677,1,51410950,31137431270675.332,5580092.407001459,59,41.65751373678844
1997,908925420,253,3592590.5928853755,38,133985670,257950802289563.28,16060846.87336142,81,39.50830315404385,334054421,253,1320373.205533597,1,51432010,31262368545240.48,5591276.110624522,19,41.62559030321134
1998,908636705,253,3591449.42687747,39,133857530,257526509437248.16,16047632.518139495,No Mode,39.5175403222582,336991570,253,1331982.4901185771,1,51853500,31767524891615.68,5636268.702928887,20,41.68594252273368
1999,910588068,253,3599162.324110672,39,134058670,258612550640469.9,16081434.96832512,1311,39.52753393162904,338690199,253,1338696.438735178,1,52183584,32053823596489.227,5661609.629468393,78,41.708295658540074
2000,921515563,253,3642354.0039525693,40,135758480,264955638761813.28,16277457.994472396,No Mode,39.51875934686215,339055332,253,1340139.652173913,1,52240370,32171330148022.63,5671977.6223132815,No Mode,41.668635238567454
2001,919892685,253,3635939.466403162,38,135380000,264071456565905.8,16250275.584306434,No Mode,39.50829932970099,340341881,253,1345224.8260869565,0,52431244,32443340955928.5,5695905.630883337,No Mode,41.65403609867208
2002,919996898,253,3636351.3754940713,37,135396480,263754260303029.5,16240512.932263855,No Mode,39.5407808611018,342197720,253,1352560.1581027668,1,52757536,32747409249012.95,5722535.211688343,64,41.70807923719639
2003,921858101,253,3643707.909090909,37,135700800,264136025731537.16,16252262.172741897,No Mode,39.60366235426212,344012698,253,1359733.9841897234,1,53077070,33074035784286.605,5751003.024193833,86,41.74192136972314
2004,927581865,253,3666331.482213439,36,136596340,266922518537648.16,16337763.572094198,No Mode,39.66009371926683,345244254,253,1364601.794466403,0,53187800,33497720160440.586,5787721.4999031,22,41.60960005489526
2005,931420624,253,3681504.442687747,34,137166460,268702124099119.28,16392136.044430552,No Mode,39.72513831389578,346261433,253,1368622.2648221343,0,53390436,33633242974737.445,5799417.468568498,57,41.67356837207444
2006,939692178,253,3714198.33201581,30,138469300,272817116176449.22,16517176.398417776,226,39.79898538939626,345888372,253,1367147.7154150198,0,53281776,33683435775165.055,5803743.255448595,No Mode,41.59809493953754
2007,949050638,253,3751188.2924901186,27,139935790,277782208909178.34,16666799.600078546,No Mode,39.859575420785006,346820676,253,1370832.7114624507,0,53410050,33900350844374.984,5822400.780122834,760,41.58590994170298
2008,960712464,253,3797282.466403162,27,141758720,284434472643166.2,16865185.22409897,No Mode,39.8987398001589,350467398,253,1385246.6324110671,0,53987020,34652011254252.934,5886595.896972454,67,41.58130161332551
2009,968935365,253,3829784.0513833994,28,142968320,289691336391923.2,17020321.277576495,46,39.892852568323484,351637013,253,1389869.6166007905,0,54122620,34890023928234.582,5906777.795738941,No Mode,41.612654228003294
2010,971818678,253,3841180.5454545454,28,143354240,291417702050524.06,17070960.782876987,No Mode,39.92546293103991,352469117,253,1393158.5652173914,0,54268588,35062510453482.168,5921360.523856166,150,41.575347790784875
2011,975881882,253,3857240.6403162056,28,143878780,294063072805342.44,17148267.341202214,No Mode,39.9418256077576,354641472,253,1401744.9486166008,0,54581440,35558038908093.69,5963056.171804328,71,41.586056975872786
2012,989446327,253,3910855.04743083,28,146054880,302413788282604.5,17390048.541697763,28,39.95406487073863,355818987,253,1406399.1581027668,0,54794788,35835634239448.625,5986287.18317528,62,41.57063544606312
2013,983470774,253,3887236.2608695654,28,145014780,298386703153300.25,17273873.426458243,No Mode,39.98929463857631,357854657,253,1414445.2845849802,0,55092620,36295848310223.305,6024603.581168084,No Mode,41.54245993364899
2014,984710657,253,3892136.984189723,27,145268260,298258456380858.3,17270160.86725478,No Mode,40.070874456695144,360952186,253,1426688.4822134387,0,55545316,36936622030637.22,6077550.660474762,287,41.55503632321711
2015,979475000,253,3871442.6877470356,27,144333940,294782267688101.5,17169224.434670936,No Mode,40.09065928805801,365660198,253,1445297.2252964426,0,56305970,37826543869199.734,6150328.761066333,72,41.62026918413012
2016,982226087,253,3882316.5494071147,27,144854100,296469684735943.94,17218295.058917534,48,40.08015990928423,368931175,253,1458225.9881422925,0,56756910,38588727606411.05,6211982.582590766,74,41.568763443934564
2017,974282024,253,3850917.090909091,26,143601800,291457174128121.6,17072116.86136554,44,40.1188471114749,374088004,253,1478608.7114624507,0,57572252,39685657476894.43,6299655.345881585,69,41.59478111111807
2018,954855481,253,3774132.3359683794,26,140332740,279501306257686.9,16718292.564065473,No Mode,40.154964225046236,375503727,253,1484204.4545454546,0,57792804,39998288300110.68,6324419.997131016,77,41.55093227770455
2019,943927010,253,3730936.798418972,25,138596800,272910276951854.88,16519996.275782112,212,40.184831626007075,379366088,253,1499470.7035573123,0,58354932,40885074111062.91,6394143.735564826,204,41.516451180098876
2020,919887747,253,3635919.9486166006,25,134719620,258916182178481.9,16090872.63570506,559,40.256599387546906,413579954,253,1634703.375494071,1,63546316,48254408121755.05,6946539.291025068,79,41.49759607974222
2021,912362337,253,3606175.2450592886,25,133448840,254364585080625.34,15948811.400246268,No Mode,40.30602114108992,456051996,253,1802577.0592885376,2,69728104,59747367280826.46,7729642.118547693,No Mode,40.82859184975538
2022,907243772,253,3585943.7628458496,25,132475390,251925352144835.66,15872156.505807132,197,40.29970518480862,404206755,253,1597655.1581027668,2,62278628,46036628621173.914,6785029.743573267,221,41.76378900236636
2023,905689613,253,3579800.8418972334,25,132110264,251518496647426.84,15859334.684892265,39,40.30000677590042,400372579,253,1582500.3122529644,2,61651610,45936185149726.74,6777623.857202961,249,41.436428444225044
2024,907914807,253,3588596.0750988144,25,132405920,252748827456824.38,15898076.21873868,38,40.31224909491172,405213417,253,1601634.0592885376,3,62389496,46960952172553.8,6852806.153142944,86,41.46775717146844
