Year,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
2025,908029778,253,3589050.5059288535,26,132399170,252803988121097.22,15899810.946080372,37,40.321242485440635,410339006,253,1621893.3043478262,3,63135984,48164096593549.1,6940035.777540999,1077,41.44767369864575
2026,908907599,253,3592520.1541501977,27,132503470,253305675518818.94,15915579.64759119,682,40.32707587945576,414010105,253,1636403.5770750989,3,63637310,48960818723889.38,6997200.777731719,269,41.43885172941498
2027,909656395,253,3595479.822134387,28,132590970,253712943879391.62,15928369.15316165,36,40.33706067918509,420645679,253,1662631.1422924902,3,64625684,50611612338784.766,7114183.884240326,No Mode,41.40840052992384
2028,910928077,253,3600506.233201581,29,132761180,254390563444700.44,15949625.808924185,675,40.34784347235105,427703112,253,1690526.1343873518,3,65677930,52403055760726.93,7238995.493901549,No Mode,41.373932776219284
2029,912590502,253,3607077.0830039526,30,132988660,255310961929121.84,15978453.051817058,30,40.35561990670034,434817596,253,1718646.624505929,3,66739330,54239261028585.98,7364730.886365501,98,41.343222522183616
2030,914457446,253,3614456.308300395,29,133256390,256327952908738.6,16010245.248238347,34,40.36325495815873,442113754,253,1747485.1936758894,4,67826880,56156583142372.51,7493769.621650542,No Mode,41.31195895832779
2031,916225939,253,3621446.3992094863,28,133513410,257259983698999.78,16039326.161001895,35,40.37440910854855,449662326,253,1777321.4466403162,4,68954184,58171349072135.78,7627014.427161901,85,41.28193484725989
2032,917884989,253,3628003.909090909,28,133764800,258091567447868.7,16065228.521495381,479,40.3875510457931,457350577,253,1807709.790513834,6,70103040,60262157417750.65,7762870.436748938,No Mode,41.25329729507956
2033,919866454,253,3635835.7865612647,27,134065220,259082150062726.0,16096029.015341828,No Mode,40.40167472895451,465274856,253,1839031.0513833992,7,71288504,62459290256082.95,7903119.020746363,No Mode,41.224585278956745
2034,921900843,253,3643876.8498023716,27,134381000,260094838855715.2,16127456.05654268,No Mode,40.41506184358005,473277036,253,1870660.2213438735,7,72486100,64709770835195.85,8044238.362654096,109,41.19944459240715
2035,923695859,253,3650971.774703557,27,134669230,260938668497158.22,16153596.147519544,67596,40.42887749915511,481490796,253,1903125.6758893281,7,73713700,67071103132756.625,8189694.93526814,687,41.17126254793303
2036,925390887,253,3657671.490118577,27,134945620,261689987887359.1,16176834.915624227,No Mode,40.446180786285744,489758610,253,1935804.7826086956,9,74948340,69486758744344.85,8335871.804697146,333,41.145560056579974
2037,926510937,253,3662098.565217391,27,135141000,262117121632186.2,16190031.551302986,181,40.46327349732944,498190946,253,1969134.1739130435,11,76206090,72000889635776.12,8485333.796367478,No Mode,41.11744133236438
2038,927762286,253,3667044.6086956523,27,135355310,262583499668510.44,16204428.396846043,No Mode,40.482942244219736,506531651,253,2002101.3873517786,13,77449620,74524311027430.23,8632746.43595132,No Mode,41.093797905446834
2039,928655365,253,3670574.565217391,28,135515310,262873943831568.1,16213387.796249373,No Mode,40.50061154599889,514979340,253,2035491.4624505928,13,78710136,77122678008070.84,8781951.833622798,1203,41.07220780763136
2040,929537822,253,3674062.537549407,28,135669000,263198394635059.8,16223390.355750546,No Mode,40.51517520742458,523319552,253,2068456.7272727273,14,79950500,79738400695399.55,8929636.089751897,376,41.05021079321633
2041,929405830,253,3673540.830039526,28,135672670,262926742610872.28,16215015.960857771,No Mode,40.53312752488974,531794855,253,2101955.9486166006,16,81208610,82443359496025.62,9079832.56982339,No Mode,41.02654708315691
2042,929023006,253,3672027.691699605,28,135635900,262541998286249.5,16203147.789434295,No Mode,40.54892301417434,540124669,253,2134880.114624506,16,82442504,85147652654262.55,9227548.572305785,140,41.00446474503204
2043,928541262,253,3670123.565217391,29,135580930,262123818777085.66,16190238.379254509,37,40.562811876520364,548444727,253,2167765.719367589,15,83672376,87894568826703.6,9375210.33506468,264,40.98286426024752
2044,927337105,253,3665364.0513833994,29,135406660,261350073137027.4,16166325.282420473,No Mode,40.57440611175691,556700064,253,2200395.509881423,15,84890480,90667746936543.72,9521961.296736283,474,40.96183778131743
2045,925324461,253,3657408.936758893,29,135108940,260124030457239.38,16128361.059240935,3553,40.58659004789067,564878619,253,2232721.814229249,15,86093330,93471836514097.55,9668083.394039253,267,40.93862642481724
2046,923092261,253,3648586.0118577075,28,134763860,258863250447714.06,16089227.77661234,9675,40.59413968469298,572971028,253,2264707.62055336,15,87281950,96281249204016.66,9812300.912834698,268,40.91842610707904
2047,919900610,253,3635970.790513834,28,134270900,257085370886805.1,16033881.965600379,28,40.60231543975637,580942338,253,2296214.774703557,15,88448280,99100292324754.72,9954912.974243157,4795,40.89576280316867
2048,916605443,253,3622946.4150197627,27,133752130,255287441331038.4,15977717.02500199,36,40.60929159882279,588874168,253,2327565.881422925,15,89606970,101944529539410.48,10096758.367882758,No Mode,40.87452367331565
2049,912870060,253,3608182.0553359683,27,133163340,253299199798644.28,15915376.206632512,27,40.612600544829384,596695165,253,2358478.913043478,15,90746280,104797129785273.9,10237046.926984066,140,40.85295785472888
2050,909032760,253,3593014.861660079,26,132555180,251281158710352.94,15851850.324500069,26,40.61437448211281,604461364,253,2389175.3517786562,15,91876620,107667229411459.19,10376282.06109776,442,40.83174633308301
2051,905071179,253,3577356.4387351777,24,131922870,249226611512413.6,15786912.665635848,426,40.615564491282385,612097204,253,2419356.537549407,15,92985500,110536234812021.62,10513621.393792989,1111,40.81057352712617
2052,901032889,253,3561394.8181818184,23,131280344,247147246117745.2,15720917.47061046,98,40.61648904131546,619669545,253,2449286.7391304346,18,94083770,113426811516101.27,10650202.416672712,No Mode,40.788700864856935
2053,897173676,253,3546141.0118577075,22,130666630,245179067852681.53,15658194.91041932,413,40.61574456524729,627201041,253,2479055.4980237153,16,95173330,116334383489363.16,10785841.807173103,No Mode,40.767454562843696
2054,893077406,253,3529950.2213438735,21,130019570,243076028141288.4,15590895.681175228,26,40.616814526748634,634661938,253,2508545.209486166,14,96249256,119258383209562.12,10920548.667972783,454,40.74490631797819
2055,889703496,253,3516614.6086956523,20,129484550,241383549505575.75,15536523.082902936,26,40.614482211083754,641917930,253,2537225.0197628457,14,97293120,122140385709330.1,11051714.152534442,No Mode,40.723921808243716
2056,886606976,253,3504375.3992094863,20,128994830,239840841630094.06,15486795.718614424,368,40.61136717195503,649006608,253,2565243.509881423,13,98309320,124978324798017.94,11179370.50097267,No Mode,40.703906788965
2057,883623217,253,3492581.885375494,20,128530510,238325310484083.25,15437788.393551819,29,40.61029221331913,656004264,253,2592902.2292490117,15,99309970,127805528634314.58,11305110.730740968,No Mode,40.685044792652626
2058,880903214,253,3481830.885375494,20,128109976,236938376550235.9,15392802.75161856,28,40.610135713259645,662842405,253,2619930.4545454546,14,100282936,130605361630031.81,11428270.281631941,126,40.66512846731367
2059,878573286,253,3472621.6837944663,20,127754770,235728660411641.56,15353457.604449935,28,40.61081299533568,669607284,253,2646669.1067193677,14,101241940,133397951875965.05,11549803.109835468,No Mode,40.645385970202
2060,876414011,253,3464087.0,20,127431160,234588879586945.44,15316294.577571478,28,40.61213082161893,676121956,253,2672418.798418972,16,102156930,136122407980123.9,11667150.808150373,No Mode,40.62478569851102
2061,874274214,253,3455629.304347826,20,127116970,233430916467534.8,15278446.140479561,No Mode,40.61566521588368,682350888,253,2697039.0830039526,16,103025270,138725696988846.06,11778187.338841494,431,40.60715621154131
2062,872602821,253,3449023.007905138,21,126876440,232519624410267.38,15248594.178161716,9248,40.61761905901135,688441803,253,2721113.8458498023,15,103869600,141292544369015.06,11886654.044305952,No Mode,40.589573099362234
2063,870888248,253,3442246.039525692,21,126634990,231545248860907.38,15216610.951881085,No Mode,40.62284503688316,694320943,253,2744351.5533596836,13,104677860,143780681098028.6,11990858.230253104,No Mode,40.573481432488734
2064,869390106,253,3436324.5296442686,21,126429590,230679573650623.5,15188139.242534732,No Mode,40.627531873463084,700192889,253,2767560.8260869565,12,105484570,146293609382758.0,12095189.514131559,46,40.55675469508092
2065,867826600,253,3430144.6640316206,22,126218350,229752562690078.1,15157590.926333845,22,40.63462223506064,705970269,253,2790396.3201581025,11,106272790,148782326177012.06,12197636.089710664,512,40.53991504367443
2066,866337291,253,3424258.067193676,22,126019440,228862772982521.34,15128211.162676219,22,40.64145571357205,711562633,253,2812500.5256916997,11,107031790,151186287728591.28,12295783.331231536,No Mode,40.52742797807102
2067,864641089,253,3417553.7114624507,22,125793030,227847940444296.88,15094632.835690204,22,40.649433465045924,717205029,253,2834802.486166008,13,107798930,153640216353050.44,12395169.073193412,No Mode,40.51360059561213
2068,862794270,253,3410254.031620553,22,125546780,226746281748198.97,15058096.88334482,22,40.658079385317805,722772776,253,2856809.3913043477,15,108554380,156065597627175.8,12492621.727530848,No Mode,40.501992932172705
2069,860673043,253,3401869.7351778657,22,125259600,225490427530283.7,15016338.685920868,22,40.66909346817058,728236738,253,2878406.0790513833,12,109292500,158473397653735.12,12588621.753541375,No Mode,40.49090894728602
2070,858651620,253,3393879.9209486167,22,124986380,224300143683433.16,14976653.287147738,22,40.678237770939454,733715601,253,2900061.6640316206,14,110034870,160902071189136.72,12684718.017722614,No Mode,40.4803470942331
2071,856530707,253,3385496.8656126484,22,124696340,223091734337258.78,14936255.700049419,22,40.68539355775374,739135913,253,2921485.822134387,14,110769660,163326918385188.03,12779942.033717837,No Mode,40.470888729498256
2072,854017090,253,3375561.62055336,22,124348330,221661101712344.7,14888287.400246702,22,40.69555834574176,744705860,253,2943501.4229249014,13,111528940,165839670980311.94,12877875.250999752,41,40.461617488325125
2073,851390245,253,3365178.8339920947,21,123982000,220201214187704.22,14839178.352850411,69,40.703697143503256,750045081,253,2964605.063241107,13,112257930,168260412946300.97,12971523.154444931,94,40.45619756982136
2074,848494382,253,3353732.7351778657,20,123572760,218609851457570.44,14785460.813162722,69,40.71217105947771,755381811,253,2985698.85770751,16,112984180,170707131823380.5,13065493.93721418,No Mode,40.44951554076953
2075,845459451,253,3341736.960474308,20,123139816,216970898512516.9,14729932.060689108,28,40.719599812888596,760683286,253,3006653.304347826,18,113706800,173160920317958.12,13159062.288702723,42,40.442628129075985
2076,842349500,253,3329444.6640316206,19,122692730,215318419363127.88,14673732.291517653,27,40.725592503682805,765878992,253,3027189.691699605,20,114416770,175575752139901.56,13250500.071314348,No Mode,40.43826439201264
2077,839010181,253,3316245.774703557,18,122209340,213568632073516.47,14613987.548698558,27,40.73050219355443,770905214,253,3047056.1818181816,20,115099180,177930707912079.62,13339066.980568005,196,40.433896106051144
2078,835238170,253,3301336.6403162056,18,121660490,211613985061474.88,14546957.931522138,27,40.73571624572978,775703918,253,3066023.3913043477,20,115749030,180207069197647.97,13424122.660257839,No Mode,40.42908049094689
2079,831468544,253,3286436.932806324,17,121106664,209693450448303.78,14480795.919019913,27,40.74036519394077,780219338,253,3083870.9011857705,20,116356650,182339967161380.2,13503331.705967242,45,40.427065269966974
2080,827725407,253,3271641.9249011856,16,120554856,207818905583653.34,14415925.415444314,26,40.74243981156358,784487036,253,3100739.272727273,20,116924250,184376017138076.44,13578513.068008456,47,40.424485566366734
2081,823677855,253,3255643.695652174,16,119954950,205799353849904.12,14345708.551685557,26,40.74613700607221,788277469,253,3115721.2213438735,19,117418490,186175291088766.34,13644606.666693121,No Mode,40.424694002395924
2082,820027415,253,3241215.0790513833,15,119411960,204005473946881.66,14283048.48227022,26,40.746415693420296,791752385,253,3129456.067193676,19,117862430,187834806642964.38,13705283.895015249,42,40.42459783216493
2083,815934297,253,3225036.7470355732,14,118804120,201996441689255.1,14212545.222065438,25,40.74746761889435,794977626,253,3142204.0553359683,19,118269520,189378230509785.8,13761476.32014043,41,40.42522583923212
2084,812025119,253,3209585.4505928853,14,118220260,200103253007862.16,14145785.697792193,25,40.74749088881535,797836481,253,3153503.877470356,19,118618880,190756225724721.75,13811452.701461991,40,40.42621845554375
2085,808001394,253,3193681.3992094863,13,117622290,198147778537424.34,14076497.381714826,No Mode,40.748532605058315,800530572,253,3164152.458498024,20,118940910,192051535995192.7,13858265.980821434,No Mode,40.427794327567526
2086,804008861,253,3177900.6363636362,13,117028430,196227485612060.0,14008122.130109375,24,40.748042051967815,802851560,253,3173326.324110672,20,119206460,193156040122820.03,13898058.861683527,41,40.431403891520496
2087,800053590,253,3162267.1541501977,13,116442230,194327532347807.8,13940141.044760194,No Mode,40.74795951502218,805049177,253,3182012.557312253,21,119458180,194201715479454.66,13935627.559584629,No Mode,40.435875903332864
2088,796306313,253,3147455.782608696,13,115886480,192527193491750.25,13875416.87632304,23,40.74889699086841,807064165,253,3189976.936758893,19,119684150,195163326774612.06,13970086.85637323,41,40.440977253985
2089,792633865,253,3132940.177865613,13,115345020,190757518403468.28,13811499.498731783,23,40.74991900001814,809120540,253,3198104.9011857705,19,119919840,196146489013678.2,14005230.773310313,38,40.44587147796015
2090,788941665,253,3118346.5019762847,13,114804560,188968675609505.4,13746587.780591423,23,40.75243753669585,811009273,253,3205570.249011858,19,120136080,197023318024738.75,14036499.493276048,No Mode,40.45521365677776
2091,785380644,253,3104271.3201581025,13,114283304,187260994804412.72,13684333.91891665,22,40.754255228964965,812904395,253,3213060.8498023716,20,120358536,197892918270243.12,14067441.781299226,38,40.46568937643761
2092,781869162,253,3090391.9446640317,13,113772580,185556535138622.34,13621913.783996077,22,40.75821612361867,814903129,253,3220960.984189723,18,120604024,198804840066075.3,14099817.02243243,No Mode,40.477724344474936
2093,778346667,253,3076469.039525692,13,113262380,183847123320040.16,13559023.686093338,22,40.76346961118536,817041250,253,3229412.0553359683,19,120878420,199770415739912.78,14134016.263607198,39,40.49164599754235
2094,774942848,253,3063015.209486166,13,112772536,182194296264763.25,13497936.741026876,22,40.768260296662895,819151413,253,3237752.62055336,19,121154320,200708393596447.53,14167158.981124181,39,40.50665052912477
2095,771516738,253,3049473.272727273,13,112282190,180518439815880.5,13435715.083905304,22,40.774665770159345,821433146,253,3246771.328063241,20,121464650,201724171610978.34,14202963.479886102,No Mode,40.52241957398341
2096,768346723,253,3036943.5691699605,13,111830664,178975036940990.44,13378155.214415418,22,40.77954520622355,823539144,253,3255095.4308300395,20,121753740,202625038350840.72,14234642.192582177,43,40.54116269244012
2097,765281566,253,3024828.324110672,13,111397100,177468054315708.47,13321713.640358303,46,40.78597724281414,825844685,253,3264208.2411067192,21,122077250,203634405388712.6,14270052.746528745,352,40.55917555573887
2098,762060141,253,3012095.418972332,13,110941160,175897176633411.12,13262623.293806212,246,40.79383143345648,827979948,253,3272648.015810277,22,122379900,204545073363892.4,14301925.512457838,159,40.578973492191594
2099,758943764,253,2999777.723320158,13,110500820,174374899558782.06,13205108.843125151,22,40.801223942845795,829971241,253,3280518.7391304346,22,122663590,205379619831724.84,14331071.831224797,169,40.59908966908044
2100,755608102,253,2986593.2885375493,13,110028470,172763118022548.53,13143938.451717908,22,40.80986262005115,831801277,253,3287752.0830039526,24,122922344,206152588520102.38,14358014.783391971,No Mode,40.618242138307984
